# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	60582
#@/user_id	windows11-caoayu-pc-i512400
bian 	邊 	c=0 d=0 t=60582
bian cheng 	編程	c=5 d=0.62917 t=60582
bian cheng 	編程 	c=0 d=0 t=60582
bian cheng 	變成	c=5 d=0.185746 t=60582
bian cheng 	變成 	c=0 d=0 t=60582
bian de 	變得	c=1 d=0.591555 t=60582
bian dong 	變動	c=1 d=1.9119e-07 t=60582
bian dong 	變動 	c=0 d=0 t=60582
bian hao 	編號	c=54 d=1.0183 t=60582
bian hao 	編號 	c=0 d=0 t=60582
bian hu lai 	變胡來	c=1 d=5.4136e-46 t=60582
bian hu lai 	變胡來 	c=0 d=0 t=60582
bian hua 	變化	c=1 d=0.00204983 t=60582
bian hua 	變化 	c=0 d=0 t=60582
bian hui lai 	變回來	c=1 d=5.57847e-46 t=60582
bian hui lai 	變回來 	c=0 d=0 t=60582
bian hui qu 	變回去	c=1 d=0.960789 t=60582
bian ji 	編輯	c=32 d=0.0494246 t=60582
bian ji 	編輯 	c=0 d=0 t=60582
bian ji qi 	編輯器	c=3 d=0.791655 t=60582
bian ji qi 	編輯器 	c=0 d=0 t=60582
bian jia 	變價	c=1 d=1.68868e-17 t=60582
bian jia 	變價 	c=0 d=0 t=60582
bian ju 	邊距	c=1 d=1.2405e-06 t=60582
bian ju 	邊距 	c=0 d=0 t=60582
bian ka 	變卡	c=1 d=8.6995e-09 t=60582
bian ka 	變卡 	c=0 d=0 t=60582
bian kuang 	邊框	c=1 d=2.62792e-14 t=60582
bian lang 	便狼	c=1 d=0.167797 t=60582
bian lang 	便狼 	c=0 d=0 t=60582
bian le 	變了	c=8 d=0.080275 t=60582
bian le 	變了 	c=0 d=0 t=60582
bian li tie 	便利貼	c=1 d=1.50395e-07 t=60582
bian li tie 	便利貼 	c=0 d=0 t=60582
bian liang 	變量	c=30 d=0.425283 t=60582
bian liang 	變量 	c=0 d=0 t=60582
bian ling 	便領	c=2 d=0.0211317 t=60582
bian ling 	便領 	c=0 d=0 t=60582
bian ma 	編碼	c=11 d=0.904837 t=60582
bian ma 	編碼 	c=0 d=0 t=60582
bian ma ji 	編碼集	c=1 d=0.000761668 t=60582
bian ma ji 	編碼集 	c=0 d=0 t=60582
bian mi 	便祕	c=2 d=2.64567e-05 t=60582
bian mi 	便祕 	c=0 d=0 t=60582
bian qiang 	变强	c=0 d=0.0137381 t=60582
bian qiang le 	变强了	c=1 d=0.138069 t=60582
bian ruo 	变弱	c=0 d=0.0138761 t=60582
bian ruo le 	变弱了	c=1 d=0.139457 t=60582
bian wei 	變爲	c=5 d=0.0103382 t=60582
bian wei 	變爲 	c=0 d=0 t=60582
bian xie 	編寫	c=2 d=5.07221e-15 t=60582
bian xie 	編寫 	c=0 d=0 t=60582
bian yi 	編譯	c=4 d=0.000880518 t=60582
bian yi 	編譯 	c=0 d=0 t=60582
bian yi 	變異	c=3 d=0.268008 t=60582
bian yi 	變異 	c=0 d=0 t=60582
bian zi 	辮子	c=0 d=1.28687e-27 t=60582
